title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
S.O.B.,1981,0,14867086,14867086,no data,no data,no data,no data
Rich and Famous,1981,0,14492125,14492125,no data,no data,no data,no data
Scanners,1981,0,14225876,14225876,no data,no data,no data,no data
Dragonslayer,1981,0,14110013,14110013,no data,no data,no data,no data
True Confessions,1981,0,12850276,12850276,no data,no data,no data,no data
Atlantic City,1981,0,12729675,12729675,no data,no data,no data,no data
The Legend of the Lone Ranger,1981,0,12617845,12617845,no data,no data,no data,no data
First Monday in October,1981,0,12480249,12480249,no data,no data,no data,no data
The Postman Always Rings Twice,1981,0,12376625,12376625,no data,no data,no data,no data
Blow Out,1981,0,12000000,12000000,no data,no data,no data,no data
Back Roads,1981,0,11809387,11809387,no data,no data,no data,no data
Thief,1981,0,11492915,11492915,no data,no data,no data,no data
Victory,1981,0,10853418,10853418,no data,no data,no data,no data
Rollover,1981,0,10851261,10851261,no data,no data,no data,no data
Wolfen,1981,0,10626725,10626725,no data,no data,no data,no data
Carbon Copy,1981,0,9566593,9566593,no data,no data,no data,no data
Pennies from Heaven,1981,0,9171289,9171289,no data,no data,no data,no data
Deadly Blessing,1981,0,8279042,8279042,no data,no data,no data,no data
Whose Life Is It Anyway?,1981,0,8206145,8206145,no data,no data,no data,no data
Prince of the City,1981,0,8124257,8124257,no data,no data,no data,no data
The Funhouse,1981,0,7886857,7886857,no data,no data,no data,no data
Buddy Buddy,1981,0,7258543,7258543,no data,no data,no data,no data
La Cage aux Folles II,1981,0,6950125,6950125,no data,no data,no data,no data
...All the Marbles,1981,0,6468195,6468195,no data,no data,no data,no data
Eyewitness,1981,0,6400000,6400000,no data,no data,no data,no data
Gallipoli,1981,0,5732587,5732587,no data,no data,no data,no data
My Bloody Valentine,1981,0,5672031,5672031,no data,no data,no data,no data
Going Ape!,1981,0,5504218,5504218,no data,no data,no data,no data
The Dogs of War,1981,0,5484132,5484132,no data,no data,no data,no data
Student Bodies,1981,0,5165432,5165432,no data,no data,no data,no data
The Watcher in the Woods,1981,0,5000000,5000000,no data,no data,no data,no data
All Night Long,1981,0,4454295,4454295,no data,no data,no data,no data
The Pursuit of D.B. Cooper,1981,0,3702028,3702028,no data,no data,no data,no data
Zoot Suit,1981,0,3256082,3256082,no data,no data,no data,no data
The Fan,1981,0,3082096,3082096,no data,no data,no data,no data
The Last Metro,1981,0,3007436,3007436,no data,no data,no data,no data
Gas,1981,0,2869425,2869425,no data,no data,no data,no data
Modern Romance,1981,0,2863642,2863642,no data,no data,no data,no data
The Hand,1981,0,2447576,2447576,no data,no data,no data,no data
Heartbeeps,1981,0,2154696,2154696,no data,no data,no data,no data
This Is Elvis,1981,0,2028612,2028612,no data,no data,no data,no data
Sphinx,1981,0,2022771,2022771,no data,no data,no data,no data
Honky Tonk Freeway,1981,0,2004742,2004742,no data,no data,no data,no data
Raggedy Man,1981,0,1976198,1976198,no data,no data,no data,no data
King of the Mountain,1981,0,1791147,1791147,no data,no data,no data,no data
Cutter's Way,1981,0,1729274,1729274,no data,no data,no data,no data
Silence of the North,1981,0,1622898,1622898,no data,no data,no data,no data
From Mao to Mozart: Isaac Stern in China,1981,0,1205934,1205934,no data,no data,no data,no data
Night School,1981,0,1169875,1169875,no data,no data,no data,no data
Eyes of a Stranger,1981,0,1118634,1118634,no data,no data,no data,no data
Herbie Goes Bananas,1981,0,1000000,1000000,no data,no data,no data,no data
Herbie Goes to Monte Carlo,1981,0,1000000,1000000,no data,no data,no data,no data
Les séducteurs,1981,0,621931,621931,no data,no data,no data,no data
Beyond the Reef,1981,0,547525,547525,no data,no data,no data,no data
Cattle Annie and Little Britches,1981,0,534816,534816,no data,no data,no data,no data
Hard Country,1981,0,534653,534653,no data,no data,no data,no data
Man of Iron,1981,0,492035,492035,no data,no data,no data,no data
Kelly,1981,0,469777,469777,no data,no data,no data,no data
Freaky Friday,1981,0,300000,300000,no data,no data,no data,no data
The Sea Wolves,1981,0,220181,220181,no data,no data,no data,no data
Second-Hand Hearts,1981,0,19450,19450,no data,no data,no data,no data
Glen or Glenda,1981,0,10158,10158,no data,no data,no data,no data
Confidence,1981,1,1,0,no data,no data,no data,no data
E.T. the Extra-Terrestrial,1982,304203888,663400925,359197037,151512000,31355000,95687000,no data
Tootsie,1982,0,177200000,177200000,no data,no data,no data,no data
An Officer and a Gentleman,1982,0,129795554,129795554,no data,no data,no data,no data
First Blood,1982,78000000,125212904,47212904,no data,no data,no data,no data
Rocky III,1982,0,124146897,124146897,no data,no data,no data,no data
Porky's,1982,0,105492483,105492483,no data,no data,no data,no data
